"","7731_ROI_001_LA1","7731_ROI_001_LA2","7731_ROI_001_P","7785_ROI_001_LA","7785_ROI_001_P","7785_ROI_004_N","7811_ROI_001_split_TC","7811_ROI_001_split_TE","7811_ROI_001_TC","7811_ROI_001_TE","7811_ROI_002_TC","7811_ROI_003_N","7813_ROI_001_TE","7813_ROI_002_TC","7813_ROI_002_TE","7813_ROI_003_TE","7813_ROI_005_TC","7986_ROI_001_P","7986_ROI_4_N","7999_ROI_001_TC","7999_ROI_001_TE","7999_ROI_002_TE","7999_ROI_003_TC","7999_ROI_005_LA1","7999_ROI_005_LA2","7999_ROI_005_TC","7999_ROI_005_TE","7999_ROI_006_TC","7999_ROI_007_TC","7999_ROI_008_TE","7999_ROI_009_TC","8016_ROI_001_P","8016_ROI_002_P","8019_ROI_001_N","8019_ROI_003_P","8019_ROI_004_LA","8019_ROI_004_P","8082_ROI_001_TE","8082_ROI_002_LA1","8082_ROI_002_LA2","8082_ROI_002_TE","8082_ROI_003_TC","8082_ROI_003_TE","8084_ROI_001_P","8084_ROI_002_N1","8084_ROI_002_N2","8084_ROI_003_N1","8084_ROI_003_N2","8084_ROI_003_N3","8084_ROI_003_N4","8084_ROI_003_N5","8180_ROI_001_LA","8180_ROI_001_TC","8180_ROI_001_TE","8180_ROI_002_TE","8180_ROI_003_TE","8180_ROI_004_TC","8180_ROI_004_TE","8180_ROI_005_TC","8180_ROI_005_TE","8180_ROI_006_TC"
"1",0,6.12731472479414e-05,0.00155753013778016,0.000324704116934365,0.000800291952716141,0.000349177994470762,4.2110794777995e-06,0,5.36847447559709e-06,0,8.66108092135731e-06,0.000580483756485717,0.0004465039601007,0,0.000132262117917245,8.18984967101248e-05,1.48324017768171e-05,0.00207820242262833,0.00125022797173758,4.07879145555959e-06,7.33787622655363e-05,0.000469715458532868,2.11890745909559e-06,0,0.000245645283845502,6.40433842242546e-05,1.40806571343316e-05,1.05970187636427e-05,0,0.00047752275115495,2.1194143775645e-06,0,0,0.000876087913095799,0.000816306269129741,0.000524107259853902,0.000606581996451137,0.000136939501715593,8.62959513504184e-05,0,0.000712061522139386,0,0,0.0010019018816969,0.00315719355904794,0.00279246494056907,0.00356313970833702,0.0025120250708174,0.00180838611323893,0.00195914386878374,0.00199909848554741,8.11820043278754e-05,0,1.25719814961777e-05,0.000122170337203144,0.000320162055989504,0,0.000272454212455413,0,0.000159891205807697,3.8593637594009e-06
"2",0,0,0.000869140274415597,0,0.000447782402114983,6.98355988941524e-05,0,0,0,0,0.000115068646526604,1.26192120975156e-05,0,1.80112574013603e-05,0.000489684746098373,0.00152772195786194,1.58918590465897e-05,0.00135775891611718,0,0,0,0,3.17836118864339e-06,0,0,0,0,0,6.35666718778782e-06,2.43634056711709e-06,1.90747293980805e-05,3.83613628231273e-06,2.25164524517182e-06,0.000152363115321009,4.36628934650792e-05,0,0,0.00136548245996406,0,0,2.51611845278935e-06,0.00134955266244472,1.59184632529997e-05,0.00024601861151988,3.75856376077135e-05,8.72645293927836e-05,0,0,0,0,0,0,0,2.51439629923555e-06,2.74259940660119e-05,0,6.60279660141511e-06,7.16984769619508e-06,0,0,0
"3",0,0,0.000142292876784854,0,0.000104800136665209,0,4.2110794777995e-06,0,0,0,0.00016208594295683,1.26192120975156e-05,3.7208663341725e-05,0,1.41709412054191e-05,1.57497109057932e-05,6.35674361863588e-06,0.000540332629883367,0,6.11818718333939e-06,6.4745966704885e-06,4.41047378904102e-06,1.0594537295478e-05,0,0,1.06738973707091e-05,4.69355237811055e-06,4.2388075054571e-06,9.53500078168173e-06,1.21817028355855e-06,1.6955315020516e-05,0,0,0.000114272336490756,3.79677334478949e-05,0,2.80824998357008e-05,0.000155198101944339,0,0,0,2.72386775906273e-05,7.95923162649986e-06,0.00055265050413886,7.51712752154271e-05,0,0.000131968137345816,0,0,0,0,0,0.000187577744661744,7.04030963785954e-05,3.24125384416505e-05,4.61772196138708e-05,6.60279660141511e-05,3.04718527088291e-05,0,0,0
"4",0.0029665793164688,0.00150119210757456,9.22980822388245e-05,0.000396860587364224,5.71637109082958e-05,0,0.000155809940678581,0.000782406295244658,0.000408004060145379,0.00122640004648047,0.000134865402918278,0,0.00037208663341725,1.80112574013603e-05,2.36182353423652e-05,2.20495952681105e-05,4.23782907909059e-06,0.000166256193810267,0,0.000332421503628107,0.000569764507002988,0.000108056607831505,5.29726864773898e-06,0.000297161049595891,0.000327527045127336,3.20216921121273e-05,6.10161809154371e-05,8.4776150109142e-06,1.05944453129797e-06,0.00013399873119144,0,2.109874955272e-05,1.12582262258591e-05,0.000152363115321009,0.000218314467325396,0.00076600291824801,0.000224659998685606,0.000136939501715593,0.00536760817399603,7.03513431398513e-05,0.000498191453652291,1.48574605039785e-05,3.18369265059994e-05,0.000114095587951249,0,0,0,0,0,0,0,0.00639308284082019,4.077777057864e-05,0.000409846596775395,0.000660717129772106,0.000360182312988193,9.24391524198115e-05,0.000229435126278243,5.04317829293606e-06,2.1902904905164e-06,5.14581834586786e-06
"5",0.00014832896582344,0.00165437497569442,0.000130755616505001,0.00133489470295239,0.000142909277270739,4.65570659294349e-05,4.2110794777995e-05,6.8305311489613e-05,0.000102001015036345,0.000254713855807482,2.84578373130312e-05,0,0.000111625990025175,7.20450296054411e-05,2.20436863195409e-05,1.25997687246346e-05,2.33080599349982e-05,0.000110837462540178,0,0.000210057759961319,0.000302147844622796,0.000242576058397256,6.35672237728678e-06,0.000396214732794521,8.18817612818339e-05,2.13477947414182e-05,4.22419714029949e-05,1.69552300218284e-05,3.17833359389391e-06,0.000220488821324097,1.05970718878225e-06,8.05588619285674e-05,9.68207455423883e-05,7.61815576605043e-05,0.00037588056113416,0.0010482145197078,0.00034822299796269,0.000283008303545559,0.000465998137292259,0,0.000485610861388344,6.43823288505737e-05,0.000262654643674495,0.000381507122211987,3.75856376077135e-05,0,0,0,0,0.000195914386878374,0.000124943655346713,0.00111625255950829,0.000106022203504464,0.000671343811895892,0.000503640981939492,0.00053257726621331,0.000105644745622642,0.000209718045113706,0.000100863565858721,5.91378432439428e-05,0.00027144191774453
"6",0.00118663172658752,0.000306365736239707,0.000369192328955298,0.000577251763438872,0.00100036494089518,0,8.84326690337894e-05,0.000155239344294575,0.00012884338741433,0.000283015395341647,0.000101458376507328,0,0.000409295296758975,0.000306191375823125,8.97492943009879e-05,8.34734678007042e-05,5.19134062188597e-05,0.000332512387620533,0,0.000291633589072511,0.000263300264599865,0.000163187530194518,3.07241581568861e-05,0.000297161049595891,0.000163763522563668,0.000384260305345528,0.000157234004666703,5.82836032000351e-05,5.29722265648985e-06,0.00025094307841306,6.35824313269351e-06,2.49348858350328e-05,9.00658098068728e-06,3.80907788302521e-05,0.000884648189335952,0.000645055089050956,0.00129179499244224,0.00106812811338163,0.00122540250917594,0,0.00144425199190109,0.000482867466379303,0.00145653938764947,0.000759448757300498,0,0,0.000131968137345816,0,0,0,0,0.000872706546524661,0.000464866584596496,0.00158909846111687,0.00127904863235128,0.00186863815370797,0.00185538584499764,0.00192331164450433,5.04317829293606e-06,6.5708714715492e-06,5.14581834586786e-06
"7",4.94429886078134e-05,0.000306365736239707,0.00073069315105736,3.60782352149295e-05,0.000562109823931575,0.000861305719694547,2.94775563445965e-05,6.8305311489613e-05,3.75793213291796e-05,0.000188676930227765,5.69156746260623e-05,0.00151430545170187,0,0.00064840526644897,0.000672332432745997,0.000456741616268004,0.00050006383133269,0.000318657704803011,0.00144257073662028,0.000917728077500909,0.00138124728970421,0.000718907227613686,0.000522310688667064,0.00101530025278596,0.00106446289666384,0.000757846713320347,0.000678218318636974,0.000899686893033269,0.00036021114064131,0.000886827966430621,0.000223598216833055,0.000882311344931929,0.000526884987370206,0.00110463258607731,0.000529649881598134,0.000120947829197054,0.000926722494578126,0.00038343060480366,0.000155332712430753,0,0.00069444869296986,0.000262481802236954,0.000748167772890987,0.000599001836744055,0.0019544531556011,0.00165802605846289,0.00184755392284142,0.00230268964824929,0.00135628958492919,0.00137140070814862,0.00299864772832111,0.000568274030295128,4.8933324694368e-05,0.000324357122601386,0.000438815905056191,0.000538734228828493,0.000349948219875001,0.000419436090227412,8.0690852686977e-05,5.25669717723936e-05,6.68956384962822e-05
"8",0.000692201840509387,0.000520821751607502,7.3069315105736e-05,0.00191214646639126,0.000514473398174662,2.32785329647175e-05,5.47440332113934e-05,0.000440879737796593,0.000230844402450675,0.00122640004648047,6.31021609984604e-05,8.8334484682609e-05,0.0001488346533669,0.000351219519326526,0.000203116823944341,0.00016222202232967,2.33080599349982e-05,0.000318657704803011,0,0.000267160840339153,0.000325888032414588,0.000202881794295887,7.41617610683458e-06,0.000148580524797945,0.000245645283845502,3.20216921121273e-05,7.04032856716582e-05,1.1656720640007e-05,0,9.86717929682422e-05,0,3.83613628231273e-05,1.12582262258591e-05,0.000114272336490756,0.000419543454599239,0.000524107259853902,0.000235892998619887,0.000371692933228038,0.00138073522160669,0,0.00057870724414155,4.70486249292654e-05,0.000294491570180495,0.000709531937571827,7.51712752154271e-05,8.72645293927836e-05,0.000263936274691631,0,0,0,0,0.00119743456383616,3.2622216462912e-05,0.000455105730161634,0.000523587159442046,0.000335554462527461,0.000145261525231132,0.000288586369771852,4.03454263434885e-05,1.0951452452582e-05,3.34478192481411e-05
"9",0,0,7.3069315105736e-05,0,0,4.65570659294349e-05,0,0,0,0,3.71189182343885e-06,0.000176668969365218,0,0,0,0,2.01296881256803e-05,6.92734140876111e-05,4.80856912206761e-05,0,0,0,1.0594537295478e-06,0,0,0,2.34677618905527e-06,0,0,1.21817028355855e-06,0,0,0,0.000190453894151261,9.49193336197373e-06,0,5.61649996714016e-06,7.82511438374817e-06,0,0,0,0,0,2.13929227408591e-05,0,0,0.000659840686729079,0,0.00203443437739379,0.000979571934391869,0.000124943655346713,0,8.155554115728e-06,5.0287925984711e-06,0,6.15696261518278e-06,0,1.79246192404877e-06,0,2.1902904905164e-06,0
"10",0,0,2.69202739863238e-05,0,0.000133381992119357,6.98355988941524e-05,3.78997153001955e-05,6.209573771783e-06,5.36847447559709e-06,0,8.0424322841175e-05,3.78576362925467e-05,0.000186043316708625,0.00128780490419726,0.00262162412300254,0.00117807837575333,4.87350344095418e-05,1.38546828175222e-05,0,0.000132560722305687,4.53221766934195e-05,0.000224934163241092,0.000460862372353292,2.47634207996576e-05,0,7.47172815949638e-05,5.39758523482713e-05,7.73582369745921e-05,0.000122895565630565,4.75086410587833e-05,0.000120806619521177,1.53445451292509e-05,4.50329049034364e-06,0.000228544672981513,5.88499868442371e-05,0,7.30144995728221e-05,0.000118680901486847,1.72591902700837e-05,0,0.000626513494744548,0.00202804335879307,0.00182266404246847,3.20893841112887e-05,3.75856376077135e-05,0,0,0,0,0.000195914386878374,0,0,0,1.00575851969422e-05,7.72914378223973e-05,1.23139252303656e-05,0,3.9434162329073e-05,0,0,0
