"","7731_ROI_001_LA1","7731_ROI_001_LA2","7731_ROI_001_P","7785_ROI_001_LA","7785_ROI_001_P","7785_ROI_004_N","7811_ROI_001_split_TC","7811_ROI_001_split_TE","7811_ROI_001_TC","7811_ROI_001_TE","7811_ROI_002_TC","7811_ROI_003_N","7813_ROI_001_TE","7813_ROI_002_TC","7813_ROI_002_TE","7813_ROI_003_TE","7813_ROI_005_TC","7986_ROI_001_P","7986_ROI_4_N","7999_ROI_001_TC","7999_ROI_001_TE","7999_ROI_002_TE","7999_ROI_003_TC","7999_ROI_005_LA1","7999_ROI_005_LA2","7999_ROI_005_TC","7999_ROI_005_TE","7999_ROI_006_TC","7999_ROI_007_TC","7999_ROI_008_TE","7999_ROI_009_TC","8016_ROI_001_P","8016_ROI_002_P","8019_ROI_001_N","8019_ROI_003_P","8019_ROI_004_LA","8019_ROI_004_P","8082_ROI_001_TE","8082_ROI_002_LA1","8082_ROI_002_LA2","8082_ROI_002_TE","8082_ROI_003_TC","8082_ROI_003_TE","8084_ROI_001_P","8084_ROI_002_N1","8084_ROI_002_N2","8084_ROI_003_N1","8084_ROI_003_N2","8084_ROI_003_N3","8084_ROI_003_N4","8084_ROI_003_N5","8180_ROI_001_LA","8180_ROI_001_TC","8180_ROI_001_TE","8180_ROI_002_TE","8180_ROI_003_TE","8180_ROI_004_TC","8180_ROI_004_TE","8180_ROI_005_TC","8180_ROI_005_TE","8180_ROI_006_TC"
"28",0,0,0,0,0,83,0,0,0,0,0,73,0,0,14,12,2,0,3,7,11,41,3,0,0,0,0,2,11,44,15,968,597,12,16,0,3,0,0,0,0,14,2,1,10,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"29",0,1,6,3,23,1,11,6,3,1,19,9,15,69,84,99,249,0,15,187,88,292,1448,29,10,48,472,1217,526,601,285,2,1,1,29,1,27,35,0,0,48,240,78,1,0,0,4,0,1,0,1,1,4,8,43,2,0,17,0,15,2
"30",5,2,5,0,7,0,23,1,13,3,3022,0,2,8,63,98,15,0,0,0,0,0,10,0,0,0,8,0,0,0,1,0,0,0,10,1,0,213,0,0,7,28,1,63,0,0,0,0,0,0,0,0,0,1,8,1,0,1,0,0,0
"31",19,18,294,4,2,0,0,7,0,6,2,4,39,0,20,19,2,0,0,8,15,1,0,9,3,0,42,0,0,55,2,2,1,2,43,0,12,27,2,0,337,1,0,8,3,0,1,0,0,0,0,2,0,1,15,6,0,4,0,2,1
"32",1,0,4,0,1,0,1767,1197,1432,523,153,0,0,2,5,4,8,0,0,0,3,1,5,1,2,2,11,0,0,2,0,0,0,0,10,1,6,22,9,0,26,3,2,1,1,0,0,0,0,0,0,5,0,6,4,1,0,0,0,0,0
"33",0,0,3,0,2,0,6,0,2,0,2,0,0,0,15,8,32,0,0,5,6,0,4,0,0,2,1,10,3,5,0,0,0,0,9,0,1,18,0,0,18,16,13,1,0,0,0,0,0,0,0,3,360,999,636,699,432,1002,0,0,1
"34",0,0,0,0,0,46,0,0,0,0,1,36,0,0,73,16,0,0,0,0,3,5,31,0,1,0,1,9,179,1,41,16,25,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,11,0,2,5,0,0,0,0,3,8,0,1,51,46,16,0,0,1,0,22,44,0,0,0,0,3,63,5,864,79,20,3,4,0,1,12,0,0,0,56,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",0,0,0,2,9,0,8,10,13,3,435,0,4,156,652,527,1359,0,0,249,68,213,793,11,4,77,645,304,158,50,434,2,0,0,13,0,1,21,0,0,123,479,35,0,0,0,0,0,0,0,0,0,8,6,35,7,1,56,0,2,2
"37",0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,6,6,0,0,3,1,1,5,0,0,0,6,2,1,1,1,0,0,0,0,0,0,0,3,0,7,9,3,0,0,0,0,0,0,0,0,1,70,30,25,31,7,293,0,1,0
"38",0,1,2,0,0,0,0,0,0,0,8,0,0,0,66,122,5,0,0,0,0,1,24,0,0,4,81,3,14,6,87,42,46,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
